#chan	code	gain	vt50	innse	comment
   0	     0	69.9	128.9	 695	OK
   1	     0	67.9	149.7	 723	OK
   2	     0	72.7	150.3	 681	OK
   3	     0	70.2	149.8	 695	OK
   4	     0	71.1	160.2	 690	OK
   5	     0	68.5	146.4	 698	OK
   6	     0	70.5	148.5	 691	OK
   7	     0	71.7	142.8	 699	OK
   8	     0	69.6	148.8	 709	OK
   9	     0	68.3	144.4	 710	OK
  10	     0	70.5	148.6	 698	OK
  11	     0	71.9	151.9	 685	OK
  12	     0	70.8	148.9	 697	OK
  13	     0	69.4	166.5	 687	OK
  14	     0	69.8	149.5	 680	OK
  15	     0	70.2	143.7	 708	OK
  16	     0	71.3	144.6	 684	OK
  17	     0	71.5	145.6	 685	OK
  18	     0	72.7	162.1	 672	OK
  19	     0	68.4	141.1	 709	OK
  20	     0	69.9	139.1	 696	OK
  21	     0	71.2	157.6	 673	OK
  22	     0	69.5	152.9	 700	OK
  23	     0	69.3	161.0	 676	OK
  24	     0	69.9	149.7	 701	OK
  25	     0	71.5	152.4	 700	OK
  26	     0	69.2	148.4	 686	OK
  27	     0	71.0	147.2	 697	OK
  28	     0	70.5	162.8	 679	OK
  29	     0	70.5	131.2	 678	OK
  30	     0	70.8	134.8	 703	OK
  31	     0	69.2	152.8	 689	OK
  32	     0	71.1	164.4	 672	OK
  33	     0	72.3	166.1	 689	OK
  34	     0	71.0	145.6	 707	OK
  35	     0	69.1	161.4	 666	OK
  36	     0	70.3	164.5	 690	OK
  37	     0	72.6	142.1	 694	OK
  38	     0	70.8	164.9	 688	OK
  39	     0	69.7	163.4	 685	OK
  40	     0	68.8	142.9	 708	OK
  41	     0	70.0	145.0	 704	OK
  42	     0	70.9	152.7	 700	OK
  43	     0	70.2	156.8	 675	OK
  44	     0	70.5	151.3	 697	OK
  45	     0	72.6	158.2	 688	OK
  46	     0	72.2	146.8	 696	OK
  47	     0	70.8	149.6	 684	OK
  48	     0	72.7	137.1	 702	OK
  49	     0	71.1	171.0	 686	OK
  50	     0	71.5	153.1	 667	OK
  51	     0	70.0	169.7	 675	OK
  52	     0	71.9	155.7	 697	OK
  53	     0	71.9	146.3	 691	OK
  54	     0	71.1	143.3	 689	OK
