#chan	code	gain	vt50	innse	comment
   0	     0	64.7	117.8	1561	OK
   1	     0	62.4	111.1	1578	OK
   2	     0	62.5	111.2	1588	OK
   3	     0	62.0	110.7	1556	OK
   4	     0	63.1	113.6	1584	OK
   5	     0	63.3	112.4	1590	OK
   6	     0	62.1	108.3	1582	OK
   7	     0	62.1	76.2	1587	OK
   8	     0	60.9	108.4	1567	OK
   9	     0	61.5	108.0	1607	OK
  10	     0	60.5	105.5	1569	OK
  11	     0	62.6	109.4	1606	OK
  12	     0	62.0	109.5	1567	OK
  13	     0	62.6	109.5	1561	OK
  14	     0	60.9	108.8	1599	OK
  15	     0	61.2	107.6	1583	OK
  16	     0	61.7	108.1	1578	OK
  17	     0	63.0	109.7	1582	OK
  18	     0	61.7	109.5	1598	OK
  19	     0	63.6	110.3	1628	OK
  20	     0	62.0	109.3	1559	OK
  21	     0	63.8	113.8	1561	OK
  22	     0	62.2	108.2	1587	OK
  23	     0	61.7	110.9	1558	OK
  24	     0	62.6	111.0	1592	OK
  25	     0	62.5	107.5	1604	OK
  26	     0	63.6	109.5	1615	OK
  27	     0	61.3	109.8	1545	OK
  28	     0	61.4	107.5	1606	OK
  29	     0	62.3	111.5	1555	OK
  30	     0	62.8	108.9	1566	OK
  31	     0	63.1	110.5	1603	OK
  32	     0	62.9	109.1	1605	OK
  33	     0	61.5	116.5	1575	OK
  34	     0	63.2	110.4	1595	OK
  35	     0	61.9	108.5	1558	OK
  36	     0	64.2	112.3	1565	OK
  37	     0	62.8	112.7	1540	OK
  38	     0	60.8	106.8	1591	OK
  39	     0	62.0	110.4	1575	OK
  40	     0	63.7	111.3	1558	OK
  41	     0	62.4	111.6	1565	OK
  42	     0	63.5	109.8	1593	OK
  43	     0	62.1	113.3	1567	OK
  44	     0	63.0	114.2	1573	OK
  45	     0	61.8	108.6	1547	OK
  46	     0	62.9	110.1	1568	OK
  47	     0	61.9	110.3	1593	OK
  48	     0	62.1	110.8	1628	OK
  49	     0	64.1	113.2	1599	OK
  50	     0	62.2	108.7	1576	OK
  51	     0	61.1	107.6	1587	OK
  52	 50000	-4.4	42.0	   0	very low gain
  53	     0	62.6	113.0	1571	OK
  54	     0	63.1	110.6	1565	OK
  55	     0	63.1	115.6	1579	OK
  56	     0	63.0	116.9	1543	OK
  57	     0	61.4	109.8	1590	OK
  58	     0	62.2	108.6	1603	OK
  59	     0	63.8	115.7	1591	OK
  60	     0	63.4	112.8	1611	OK
  61	     0	64.7	114.4	1580	OK
  62	     0	62.8	111.2	1627	OK
  63	     0	63.7	109.9	1596	OK
  64	     0	65.7	116.5	1605	OK
  65	     0	64.5	113.0	1589	OK
  66	     0	65.4	115.1	1596	OK
  67	     0	63.0	112.1	1611	OK
  68	     0	63.2	110.3	1570	OK
  69	     0	64.1	112.1	1600	OK
  70	     0	63.8	115.6	1635	OK
  71	     0	62.1	108.2	1602	OK
  72	     0	63.6	117.1	1559	OK
  73	     0	62.5	105.8	1615	OK
  74	     0	60.4	107.1	1635	OK
  75	     0	61.5	111.7	1599	OK
  76	     0	62.3	110.6	1574	OK
  77	     0	62.5	112.0	1564	OK
  78	     0	61.8	108.9	1582	OK
  79	     0	63.0	113.0	1594	OK
  80	     0	62.8	110.3	1621	OK
  81	     0	61.2	109.7	1580	OK
  82	     0	61.0	108.1	1582	OK
  83	     0	61.7	109.0	1593	OK
  84	     0	61.5	111.0	1574	OK
  85	     0	63.2	112.0	1582	OK
  86	     0	60.6	106.4	1597	OK
  87	     0	61.3	108.3	1619	OK
  88	     0	61.7	106.8	1623	OK
  89	     0	61.9	107.2	1607	OK
  90	     0	63.0	109.1	1568	OK
  91	     0	62.8	112.1	1600	OK
  92	     0	61.7	112.7	1581	OK
  93	     0	62.5	112.3	1584	OK
  94	     0	61.9	107.9	1610	OK
  95	     0	62.4	110.6	1541	OK
  96	     0	63.3	112.7	1551	OK
  97	     0	62.8	109.0	1603	OK
  98	     0	62.6	112.1	1559	OK
  99	     0	60.7	107.2	1564	OK
 100	     0	62.0	107.4	1581	OK
 101	     0	61.7	108.1	1551	OK
 102	     0	64.1	115.0	1563	OK
 103	     0	62.0	108.7	1622	OK
 104	     0	63.8	129.3	1603	OK
 105	     0	62.4	108.7	1566	OK
 106	     0	63.0	110.5	1639	OK
 107	     0	60.5	104.8	1570	OK
 108	     0	64.1	112.1	1607	OK
 109	     0	63.3	111.4	1580	OK
 110	     0	62.7	110.8	1562	OK
 111	     0	62.4	110.0	1567	OK
 112	     0	62.7	109.9	1602	OK
 113	     0	62.6	113.2	1571	OK
 114	     0	62.1	107.9	1597	OK
 115	     0	64.6	111.4	1597	OK
 116	     0	62.2	109.0	1575	OK
 117	     0	63.4	108.3	1581	OK
 118	     0	63.2	106.5	1592	OK
 119	     0	62.9	113.5	1593	OK
 120	     0	63.8	114.5	1567	OK
 121	     0	63.0	110.3	1600	OK
 122	     0	63.0	111.2	1560	OK
 123	     0	64.6	113.6	1562	OK
 124	     0	63.8	111.9	1580	OK
 125	     0	62.8	110.9	1593	OK
 126	     0	64.4	104.6	1634	OK
 127	  4000	64.4	101.8	1704	high noise
 128	     0	63.4	117.8	1597	OK
 129	     0	63.8	115.0	1591	OK
 130	     0	62.4	113.6	1599	OK
 131	     0	62.5	97.7	1597	OK
 132	     0	63.2	113.8	1584	OK
 133	     0	63.4	114.8	1601	OK
 134	     0	63.3	111.9	1617	OK
 135	     0	61.8	114.2	1556	OK
 136	     0	61.4	111.9	1598	OK
 137	     0	63.7	114.2	1594	OK
 138	     0	61.6	109.5	1563	OK
 139	     0	63.0	111.9	1593	OK
 140	     0	62.1	109.9	1568	OK
 141	     0	63.2	109.1	1593	OK
 142	     0	64.4	115.2	1589	OK
 143	     0	62.4	112.9	1577	OK
 144	     0	62.0	113.0	1582	OK
 145	     0	61.9	113.5	1586	OK
 146	     0	62.6	115.9	1591	OK
 147	     0	61.8	112.7	1566	OK
 148	     0	61.3	110.4	1570	OK
 149	     0	62.3	113.1	1593	OK
 150	     0	62.0	115.6	1559	OK
