#chan	code	gain	vt50	innse	comment
   0	     0	68.2	80.9	1931	OK
   1	     0	69.5	98.0	1853	OK
   2	     0	70.7	98.0	1845	OK
   3	     0	69.6	96.8	1875	OK
   4	     0	67.0	95.3	1902	OK
   5	     0	66.4	93.3	1880	OK
   6	     0	66.5	94.3	1885	OK
   7	     0	67.4	97.2	1876	OK
   8	     0	66.0	94.0	1850	OK
   9	     0	67.7	96.1	1848	OK
  10	     0	68.8	97.2	1889	OK
  11	     0	67.2	99.4	1808	OK
  12	     0	66.6	94.5	1885	OK
  13	     0	68.9	98.3	1848	OK
  14	     0	66.7	95.4	1860	OK
  15	     0	65.7	93.2	1885	OK
  16	     0	65.3	96.3	1849	OK
  17	     0	67.0	97.2	1834	OK
  18	     0	66.5	95.4	1873	OK
  19	     0	68.9	101.4	1804	OK
  20	     0	68.4	96.4	1865	OK
  21	     0	66.2	95.7	1867	OK
  22	     0	68.7	98.0	1839	OK
  23	     0	68.6	100.4	1847	OK
  24	     0	65.8	96.0	1878	OK
  25	     0	67.4	95.9	1865	OK
  26	     0	66.8	102.2	1853	OK
  27	     0	68.6	94.5	1881	OK
  28	     0	66.2	95.8	1894	OK
  29	     0	66.2	94.1	1914	OK
  30	     0	66.8	96.4	1878	OK
  31	     0	69.2	99.9	1843	OK
  32	     0	67.0	95.0	1889	OK
  33	     0	65.6	96.4	1879	OK
  34	     0	66.0	96.2	1872	OK
  35	     0	67.6	96.7	1896	OK
  36	     0	67.3	94.5	1893	OK
  37	     0	68.3	100.1	1853	OK
  38	     0	69.2	97.0	1860	OK
  39	     0	68.7	95.3	1900	OK
  40	     0	67.8	103.0	1804	OK
  41	     0	66.3	95.6	1877	OK
  42	     0	67.5	97.6	1863	OK
  43	     0	67.6	100.4	1835	OK
  44	     0	69.3	100.5	1843	OK
  45	     0	68.4	94.8	1891	OK
  46	     0	67.4	96.2	1857	OK
  47	     0	65.7	98.2	1864	OK
  48	     0	67.3	96.9	1882	OK
  49	     0	68.6	98.0	1862	OK
  50	     0	69.2	97.9	1873	OK
  51	     0	69.3	102.1	1832	OK
  52	     0	67.1	94.2	1889	OK
  53	     0	66.7	95.0	1877	OK
  54	     0	69.8	100.3	1835	OK
  55	     0	67.0	102.7	1844	OK
  56	     0	67.4	97.7	1863	OK
  57	     0	66.3	94.3	1865	OK
  58	     0	70.7	103.5	1788	OK
  59	     0	67.9	96.0	1845	OK
  60	     0	68.9	97.3	1877	OK
  61	     0	68.9	97.0	1856	OK
  62	     0	70.1	100.8	1815	OK
  63	     0	72.1	102.3	1829	OK
  64	     0	68.7	98.1	1846	OK
  65	     0	70.3	98.2	1830	OK
  66	     0	66.9	95.1	1853	OK
  67	     0	65.4	92.8	1877	OK
  68	     0	67.5	94.5	1880	OK
  69	     0	65.2	96.2	1847	OK
  70	     0	65.3	93.4	1851	OK
  71	     0	65.0	91.9	1872	OK
  72	     0	65.8	97.0	1813	OK
  73	     0	69.3	100.5	1835	OK
  74	     0	68.8	101.3	1793	OK
  75	     0	67.9	97.1	1863	OK
  76	     0	68.4	101.4	1811	OK
  77	     0	67.7	96.3	1847	OK
  78	     0	68.1	94.4	1861	OK
  79	     0	65.3	93.4	1869	OK
  80	     0	66.0	95.8	1835	OK
  81	     0	67.9	96.3	1833	OK
  82	     0	66.3	98.2	1843	OK
  83	     0	68.3	96.0	1874	OK
  84	     0	68.0	98.6	1790	OK
  85	     0	65.9	94.9	1857	OK
  86	     0	69.3	99.1	1821	OK
  87	     0	65.9	96.0	1870	OK
  88	     0	67.0	97.9	1827	OK
  89	     0	66.9	94.0	1879	OK
  90	     0	67.9	94.1	1881	OK
  91	     0	68.3	98.2	1853	OK
