#chan	code	gain	vt50	innse	comment
   0	     0	75.1	140.2	1340	OK
   1	     0	74.0	138.8	1335	OK
   2	     0	75.1	145.9	1332	OK
   3	     0	74.3	137.5	1337	OK
   4	     0	71.9	135.5	1322	OK
   5	     0	71.3	135.2	1342	OK
   6	     0	71.6	133.7	1325	OK
   7	     0	71.8	133.8	1325	OK
   8	     0	71.0	132.8	1347	OK
   9	     0	72.1	136.0	1334	OK
  10	     0	73.2	137.4	1331	OK
  11	     0	71.6	133.1	1315	OK
  12	     0	71.7	134.0	1333	OK
  13	     0	73.2	138.6	1329	OK
  14	     0	71.7	134.6	1343	OK
  15	     0	71.1	135.2	1315	OK
  16	     0	69.8	131.8	1327	OK
  17	     0	71.9	136.3	1314	OK
  18	     0	71.7	134.9	1328	OK
  19	     0	72.7	138.4	1348	OK
  20	     0	73.2	139.1	1338	OK
  21	     0	70.8	137.1	1319	OK
  22	     0	73.4	135.7	1336	OK
  23	     0	73.5	140.8	1326	OK
  24	     0	70.2	134.6	1327	OK
  25	     0	72.6	138.6	1333	OK
  26	     0	71.0	135.3	1337	OK
  27	     0	73.4	137.7	1336	OK
  28	     0	71.1	135.2	1356	OK
  29	     0	71.8	139.4	1297	OK
  30	     0	71.2	132.6	1344	OK
  31	     0	73.4	137.5	1342	OK
  32	     0	72.1	137.2	1342	OK
  33	     0	70.7	137.6	1338	OK
  34	     0	70.6	132.2	1351	OK
  35	     0	72.4	136.8	1325	OK
  36	     0	72.0	139.1	1343	OK
  37	     0	73.0	134.2	1341	OK
  38	     0	73.9	137.6	1325	OK
  39	     0	73.7	138.9	1342	OK
  40	     0	72.2	136.3	1332	OK
  41	     0	71.3	134.2	1338	OK
  42	     0	72.1	139.5	1321	OK
  43	     0	72.2	137.1	1349	OK
  44	     0	73.8	137.9	1343	OK
  45	     0	73.4	140.1	1356	OK
  46	     0	71.7	135.1	1359	OK
  47	     0	70.3	134.0	1325	OK
  48	     0	72.1	136.9	1326	OK
  49	     0	73.1	135.4	1336	OK
  50	     0	73.9	138.1	1342	OK
  51	     0	73.6	138.9	1360	OK
  52	     0	72.3	136.7	1330	OK
  53	     0	71.3	134.0	1324	OK
  54	     0	73.8	137.9	1351	OK
  55	     0	71.3	135.5	1357	OK
  56	     0	72.0	134.5	1349	OK
  57	     0	71.2	136.1	1330	OK
  58	     0	73.9	141.5	1327	OK
  59	     0	72.1	137.5	1332	OK
  60	     0	73.4	140.2	1325	OK
  61	     0	72.9	140.5	1350	OK
  62	     0	73.8	138.2	1326	OK
  63	     0	75.6	140.9	1362	OK
  64	     0	72.8	135.4	1310	OK
  65	     0	74.2	141.8	1333	OK
  66	     0	71.2	134.3	1333	OK
  67	     0	70.3	126.0	1349	OK
  68	     0	72.1	134.1	1304	OK
  69	     0	69.6	132.4	1327	OK
  70	     0	70.2	134.4	1347	OK
  71	     0	69.9	133.0	1338	OK
  72	     0	70.1	134.9	1306	OK
  73	     0	73.4	138.0	1328	OK
  74	     0	73.0	138.7	1334	OK
  75	     0	73.0	136.7	1326	OK
  76	     0	72.5	141.3	1324	OK
  77	     0	72.4	138.9	1344	OK
  78	     0	72.3	134.5	1333	OK
  79	     0	70.1	137.9	1317	OK
  80	     0	70.3	134.2	1321	OK
  81	     0	72.6	135.8	1317	OK
  82	     0	70.8	134.0	1343	OK
  83	     0	72.9	139.0	1343	OK
  84	     0	71.6	137.7	1314	OK
  85	     0	70.5	133.5	1337	OK
  86	     0	73.3	139.7	1334	OK
  87	     0	70.8	135.0	1331	OK
  88	     0	71.3	133.8	1338	OK
  89	     0	72.1	136.7	1347	OK
  90	     0	72.6	137.7	1340	OK
  91	     0	72.3	135.2	1320	OK
  92	     0	72.4	134.5	1334	OK
  93	     0	72.7	136.3	1328	OK
  94	     0	72.1	138.1	1332	OK
  95	     0	72.8	138.8	1329	OK
  96	     0	71.8	135.9	1308	OK
  97	     0	71.0	132.7	1336	OK
  98	     0	72.0	139.2	1316	OK
  99	     0	72.4	136.9	1327	OK
 100	     0	71.1	133.8	1344	OK
 101	     0	69.7	131.3	1312	OK
 102	     0	68.7	132.4	1315	OK
 103	     0	73.2	136.6	1331	OK
 104	     0	69.7	132.7	1331	OK
 105	     0	70.7	134.5	1335	OK
 106	     0	72.0	136.1	1357	OK
 107	     0	72.9	136.0	1331	OK
 108	     0	72.3	138.6	1315	OK
 109	     0	72.3	138.3	1318	OK
 110	     0	68.8	131.4	1339	OK
